zone,driver,pearson_r,p_value
DK1,renewable_share,0.7063134293030664,0.0
DK1,wind100,0.7781769148346139,0.0
DK1,t2m,-0.054800931146297104,3.7769284119899696e-13
DK1,actual_load_mw,0.17761354885532282,2.711856893611204e-124
DK1,net_export_mw,0.9867936238369481,0.0
DK1,export_utilisation,0.5480155295271448,0.0
DK2,renewable_share,0.48122348368139445,0.0
DK2,wind100,0.653262447175829,0.0
DK2,t2m,-0.1946350162080726,2.4608656580761105e-149
DK2,actual_load_mw,-0.09190699116500856,3.1841356465626223e-34
DK2,net_export_mw,0.9981389268538643,0.0
DK2,export_utilisation,0.272272334931247,9.169101339466219e-296
FI,renewable_share,0.5243281691089059,0.0
FI,wind100,0.3877908898288833,0.0
FI,t2m,0.404800724927085,0.0
FI,actual_load_mw,-0.4126729821727582,0.0
FI,net_export_mw,0.9765732162302412,0.0
FI,export_utilisation,,
NO1,renewable_share,0.13252948183654528,1.4472989172287017e-69
NO1,wind100,-0.10773904419173468,1.8764555625763787e-46
NO1,t2m,0.8761775093976785,0.0
NO1,actual_load_mw,-0.9747969845531044,0.0
NO1,net_export_mw,0.9993813369037017,0.0
NO1,export_utilisation,,
NO2,renewable_share,-0.4868385079586349,0.0
NO2,wind100,-0.20896687234378636,2.4612610950549634e-172
NO2,t2m,-0.21788939652958433,1.4905168926067605e-187
NO2,actual_load_mw,0.2569648014739708,1.4822025680835578e-262
NO2,net_export_mw,0.9926009393932921,0.0
NO2,export_utilisation,0.6724650829284501,0.0
NO3,renewable_share,0.3013024842695542,0.0
NO3,wind100,0.17377496792641534,5.547077106143644e-119
NO3,t2m,0.34175094469917533,0.0
NO3,actual_load_mw,-0.37372958009483503,0.0
NO3,net_export_mw,0.9866231158999627,0.0
NO3,export_utilisation,,
NO4,renewable_share,0.6870697328910872,0.0
NO4,wind100,0.045731422585169414,1.3623569123708617e-09
NO4,t2m,-0.4507504778008349,0.0
NO4,actual_load_mw,0.4664970455137846,0.0
NO4,net_export_mw,0.9910117837565484,0.0
NO4,export_utilisation,,
NO5,renewable_share,-0.20056368846951456,1.2329151361694714e-158
NO5,wind100,-0.04637205729559195,8.004092670781832e-10
NO5,t2m,-0.15565559092772124,1.4584174919484252e-95
NO5,actual_load_mw,0.327329444498274,0.0
NO5,net_export_mw,0.9953428437540548,0.0
NO5,export_utilisation,,
SE1,renewable_share,0.023430660577581527,0.001911844096220168
SE1,wind100,0.2651377724639315,5.187330865054948e-280
SE1,t2m,-0.4533042127518043,0.0
SE1,actual_load_mw,0.38120042267993315,0.0
SE1,net_export_mw,0.9901633896940921,0.0
SE1,export_utilisation,,
SE2,renewable_share,0.426056277710824,0.0
SE2,wind100,0.47507521815431175,0.0
SE2,t2m,-0.31110727390408305,0.0
SE2,actual_load_mw,0.21838086366417517,2.0647416259054852e-188
SE2,net_export_mw,0.9940932380979828,0.0
SE2,export_utilisation,,
SE3,renewable_share,0.19761730734006008,5.629330014770279e-154
SE3,wind100,0.1524613317430716,1.0299357133067252e-91
SE3,t2m,0.5235722455449833,0.0
SE3,actual_load_mw,-0.7658389486941379,0.0
SE3,net_export_mw,0.997383919779463,0.0
SE3,export_utilisation,,
SE4,renewable_share,0.7227819413124597,0.0
SE4,wind100,0.5464556775457629,0.0
SE4,t2m,0.42812607661770335,0.0
SE4,actual_load_mw,-0.6507347386691739,0.0
SE4,net_export_mw,0.9951841614605408,0.0
SE4,export_utilisation,,
